position_slug,position_name,description,detailed_instructions,category,difficulty_level,intimacy_level,required_flexibility,tags,benefits,tips,image_url,image_url_illustrated,thumbnail_url,video_tutorial_url,animation_url,image_file,image_illustrated_file,thumbnail_file,video_tutorial_file,animation_file,sort_order,is_premium,requires_dlc,is_active
0-preview,0 Preview,Illustrated 0 Preview position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|preview,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,0-preview.png,,,,,,false,true,true
1-shuttle,1 Shuttle,Illustrated 1 Shuttle position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|shuttle,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,1-shuttle.png,,,,,,false,true,true
10-circle,10 Circle,Illustrated 10 Circle position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|10|circle,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,10-circle.png,,,,,,false,true,true
100-accordion,100 Accordion,Illustrated 100 Accordion position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|100|accordion,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,100-accordion.png,,,,,,false,true,true
101-watering-can,101 Watering Can,Illustrated 101 Watering Can position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|101|watering|can,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,101-watering-can.png,,,,,,false,true,true
102-libido,102 Libido,Illustrated 102 Libido position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|102|libido,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,102-libido.png,,,,,,false,true,true
103-flash,103 Flash,Illustrated 103 Flash position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|103|flash,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,103-flash.png,,,,,,false,true,true
104-praying-mantis,104 Praying Mantis,Illustrated 104 Praying Mantis position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|104|praying|mantis,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,104-praying-mantis.png,,,,,,false,true,true
105-basket,105 Basket,Illustrated 105 Basket position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|105|basket,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,105-basket.png,,,,,,false,true,true
106-dolphin,106 Dolphin,Illustrated 106 Dolphin position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|106|dolphin,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,106-dolphin.png,,,,,,false,true,true
