topic_id,title,summary,body,resources,tags,content_rating,source_import_key,requires_feature_id,requires_dlc,is_active
consent-checkins,Consent check-ins for shared comfort,"Simple check-ins that keep both partners aligned.","Use brief check-ins before, during, and after to confirm comfort. Agree on a pause word, confirm boundaries, and revisit anything that changes. Keep the tone supportive and non-judgmental.",[],consent|communication|boundaries,educational,pps-original-2026-02-02,topics_library,true,true
boundaries-language,Boundary language that feels natural,"Phrases that make boundaries clear without killing the mood.","Practice short scripts such as 'I am good with this but not that' or 'Can we slow down'. Pair requests with reassurance and gratitude to keep the exchange kind.",[],communication|boundaries|respect,educational,pps-original-2026-02-02,topics_library,true,true
aftercare-basics,Aftercare basics for emotional safety,"Calm closing routines that help partners feel secure.","Aftercare can be as simple as water, a blanket, and a brief talk about what felt good. Focus on emotional regulation and reassurance, not performance.",[],aftercare|safety|connection,educational,pps-original-2026-02-02,topics_library,true,true
privacy-digital-safety,Digital privacy for intimate media,"Safe handling of private media and devices.","Use strong device locks, avoid cloud auto-uploads, and agree on retention rules before sharing any private media. Keep consent specific to the media and the audience.",[],privacy|consent|security,educational,pps-original-2026-02-02,topics_library,true,true
anatomy-basics,Anatomy basics for comfort,"Know the basics to reduce discomfort and anxiety.","Learn general anatomy terms and where common sensitivity and pressure points are. This helps you communicate clearly and adjust positioning for comfort.",[],anatomy|education|comfort,educational,pps-original-2026-02-02,topics_library,true,true
arousal-variability,Arousal variability is normal,"Why desire can change day to day.","Energy, stress, sleep, and health can shift arousal. Normalize variability and plan for flexibility rather than rigid expectations.",[],wellness|relationships|mindset,educational,pps-original-2026-02-02,topics_library,true,true
lubrication-safety,Lubrication and skin safety,"Reduce friction and irritation safely.","Choose body-safe lubricants and avoid ingredients that irritate sensitive skin. Reapply as needed and stop if there is burning or discomfort.",[],safety|comfort|wellness,educational,pps-original-2026-02-02,topics_library,true,true
pacing-and-breaks,Pacing and micro-breaks,"Short pauses can improve comfort and stamina.","Plan short breaks to reset breathing, check in, and adjust posture. Micro-breaks reduce strain and improve overall experience.",[],comfort|safety|communication,educational,pps-original-2026-02-02,topics_library,true,true
pain-discomfort-signals,Pain and discomfort signals,"When to pause and what to do next.","Pain, numbness, or sharp discomfort are signals to stop. Switch to a safer position, use support, or end the session if symptoms persist.",[],safety|health|communication,educational,pps-original-2026-02-02,topics_library,true,true
inclusive-language,Inclusive language and respect,"Language choices that help partners feel seen.","Use partner-preferred terms and avoid assumptions. Confirm pronouns and preferences when appropriate.",[],respect|relationships|communication,educational,pps-original-2026-02-02,topics_library,true,true
shared-goals-intentions,Shared intentions for intimacy,"Align on goals before you begin.","Talk briefly about what you both want: closeness, relaxation, or exploration. Shared intention reduces misunderstandings.",[],connection|communication|relationships,educational,pps-original-2026-02-02,topics_library,true,true
stress-and-libido,Stress and libido,"How stress can impact desire and comfort.","High stress can reduce arousal or increase sensitivity. Consider lower-pressure activities or non-intimate bonding when stress is high.",[],wellness|mindset|relationships,educational,pps-original-2026-02-02,topics_library,true,true
body-image-compassion,Body image and self-compassion,"Reduce self-criticism to improve connection.","Focus on comfort and presence rather than appearance. Supportive feedback and neutral language help reduce anxiety.",[],wellness|confidence|relationships,educational,pps-original-2026-02-02,topics_library,true,true
communication-new-activities,Communicating during new activities,"Stay aligned when trying something new.","Agree on a stop word and a slow word. Give feedback in real time and affirm that pausing is always acceptable.",[],consent|communication|safety,demonstrative,pps-original-2026-02-02,topics_library,true,true
positioning-comfort-support,Positioning for comfort and support,"Simple supports that reduce strain.","Use pillows or bolsters to support hips, knees, or back. Choose stable surfaces and avoid positions that compress joints.",[],comfort|safety|support,demonstrative,pps-original-2026-02-02,topics_library,true,true
breath-and-relaxation,Breath and relaxation cues,"Simple breathing to reduce tension.","Use slow breathing to reduce tension and improve comfort. Pause when breathing becomes shallow or strained.",[],relaxation|wellness|comfort,demonstrative,pps-original-2026-02-02,topics_library,true,true
safety-checklist,Consent and safety checklist,"A short checklist before intimate sessions.","Confirm consent, privacy settings, and a stop word. Make sure the environment is safe and comfortable.",[],consent|safety|privacy,demonstrative,pps-original-2026-02-02,topics_library,true,true
